Day fraction since midnight on 	Time (seconds)	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.598304118	36	1.960010648	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.59836199	72	1.960010648	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.598419862	108	1.960010648	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.598477722	144	1.91227591	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.598535594	180	1.91227591	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.598593466	216	1.91227591	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.598651338	252	1.687709689	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.598709221	288	1.687709689	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.598767093	324	1.687709689	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.598824965	360	1.646327376	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.598882825	396	1.646327376	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.598940708	432	1.646327376	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.598998569	468	1.607437134	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.599056429	504	1.607437134	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.599114301	540	1.607437134	0.709488452	34.25828571	0.35132948	1.406011561	0.70300578
0.599172172	576	1.60120678	0.683831215	34.25828571	0.35132948	1.406011561	0.70300578
0.599230056	612	1.60120678	0.683831215	34.25828571	0.35132948	1.406011561	0.70300578
0.599287916	648	1.60120678	0.683831215	34.25828571	0.35132948	1.406011561	0.70300578
0.599345788	684	1.610509992	0.785199583	34.25828571	0.35132948	1.406011561	0.70300578
0.59940366	720	1.610509992	0.785199583	34.25828571	0.35132948	1.406011561	0.70300578
0.599461532	756	1.610509992	0.785199583	34.25828571	0.35132948	1.406011561	0.70300578
0.599519392	792	1.577406406	0.829858005	34.25828571	0.35132948	1.406011561	0.70300578
0.599577264	828	1.577406406	0.829858005	34.25828571	0.35132948	1.406011561	0.70300578
