ID;Tiempo minutos;Abs. (254.0nm)
1;5;0.0695
2;10;0.0696
3;15;0.0665
4;20;0.0525
5;25;0.0533
6;30;0.0555
7;35;0.0577
8;40;0.058
9;45;0.0541
10;60;0.0601
11;65;0.0555
12;70;0.0591
13;75;0.0553
14;80;0.067
15;85;0.0611
16;90;0.0628
17;95;0.0601
18;100;0.0624
19;105;0.0577
20;110;0.0651
21;115;0.0642
22;120;0.085
23;125;0.0659
24;130;0.0553
25;140;0.0529
26;145;0.0568
27;150;0.058
28;155;0.0543
29;160;0.0592
30;165;0.0623
31;170;0.0621
32;175;0.0586
33;180;0.0688
34;185;0.067
35;190;0.0643
