Day fraction since midnight on 3/5/2020	Time (seconds)	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.58304429	35	2.1090858	0.92415506	34.29257143	0.1757341	1.40601156	0.70300578
0.58310216	70	2.1090858	0.92415506	34.29257143	0.1757341	1.40601156	0.70300578
0.58316003	105	2.17858338	0.92415506	34.29257143	0.1757341	1.40601156	0.70300578
0.58321789	140	2.17858338	1.8973372	34.29257143	0.1757341	1.40601156	0.70300578
0.58327576	175	2.17858338	1.8973372	34.29257143	0.1757341	1.40601156	0.70300578
0.58333365	210	2.17858338	1.8973372	34.29257143	0.1757341	1.40601156	0.70300578
0.58339151	245	2.17858338	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58344939	280	1.89740431	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58350725	315	1.89740431	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58356514	350	1.89740431	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58362298	385	1.73774731	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58368086	420	1.73774731	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58373873	455	1.701478	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.5837966	490	1.701478	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58385447	525	1.701478	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58391234	560	1.66169477	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58397022	595	1.63880372	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.5840281	630	1.63880372	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58408595	665	1.63880372	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58414382	700	2.1090858	0.92415506	34.29257143	0.1757341	1.40601156	0.70300578
0.5842017	735	1.59190559	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58425957	770	1.577039	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58431744	805	1.577039	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58437531	840	1.577039	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58443318	875	1.65665841	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58449104	910	1.76873457	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58454892	945	1.76873457	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58460678	980	1.76873457	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58466465	1015	2.03515887	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58472254	1050	2.03515887	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.5847804	1085	1.90832937	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58483827	1120	1.90832937	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58489617	1155	1.90832937	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58495401	1190	1.9613899	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58501187	1225	2.06754851	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58506975	1260	2.06754851	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58512763	1295	1.577039	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58518549	1330	1.94847882	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58524337	1365	1.93196404	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58530123	1400	1.93196404	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58535911	1435	1.93196404	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58541697	1470	1.72887647	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58547485	1505	1.72887647	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58553271	1540	1.71488893	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58559058	1575	1.71488893	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58564847	1610	1.71488893	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.58570633	1645	1.6223743	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
0.5857642	1680	1.61520576	1.91030169	34.29257143	0.1757341	1.40601156	0.70300578
