Day fraction since midnight on 	Time (seconds)	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.724468117	43	1.887728334	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.724525991	86	1.887728334	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.724583888	129	1.718888879	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.724641749	172	1.718888879	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.724699635	215	1.64181912	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.724757531	258	1.64181912	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.724815405	301	1.575751066	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.72487329	344	1.575751066	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.724931175	387	1.536304832	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.724989072	430	1.536304832	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.725046945	473	1.70480454	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.725104842	516	1.70480454	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.725162704	559	1.628339171	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.7252206	602	1.628339171	2.378575563	342.9942857	0.140601156	1.406011561	0.70300578
0.725278474	645	1.592686772	2.300400257	342.9942857	0.140601156	1.406011561	0.70300578
0.725336359	688	1.592686772	2.300400257	342.9942857	0.140601156	1.406011561	0.70300578
0.725394244	731	1.645052195	2.300400257	342.9942857	0.140601156	1.406011561	0.70300578
0.725452141	774	2.392157793	2.300400257	342.9942857	0.140601156	1.406011561	0.70300578
0.725510026	817	2.937724352	2.300400257	342.9942857	0.140601156	1.406011561	0.70300578
0.725567899	860	3.992225885	2.300400257	342.9942857	0.140601156	1.406011561	0.70300578
0.725625773	903	3.992225885	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.725683658	946	4.744081974	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.72574155	989	4.849176884	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.725799446	1032	5.081915855	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.725857308	1075	4.911263466	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.725915205	1118	4.541485786	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.725973078	1161	4.39290905	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726030963	1204	4.014712334	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.72608886	1247	3.777034521	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.72614673	1290	3.403506279	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726204619	1333	3.209839582	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726262485	1376	2.800072193	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726320374	1419	2.679769278	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726378239	1462	2.383997679	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726436105	1505	2.292825937	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726493994	1548	2.153747559	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726551871	1591	2.070162535	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726609737	1634	1.982210755	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726667614	1677	1.945262551	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726725492	1720	1.88785255	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726783381	1763	1.78629005	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726841235	1806	1.668643355	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.726899124	1849	1.614898443	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.72695699	1892	1.588641286	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.727014867	1935	1.608590126	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.727072744	1978	1.838884711	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.727130622	2021	1.701544404	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.727188499	2064	1.646587253	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
0.727246388	2107	1.581874251	2.318401098	342.9942857	0.140601156	1.406011561	0.70300578
