ID;Sample Name;Abs. (254.0nm)
1;5.00;0.0596
2;10.00;0.0525
3;15.00;0.0514
4;20.00;0.0517
5;25.00;0.0521
6;30.00;0.0501
7;35.00;0.0527
8;40.00;0.0569
9;45.00;0.0529
10;50.00;0.0475
11;55.00;0.0464
12;60.00;0.0451
13;65.00;0.0415
14;70.00;0.0431
15;75.00;0.0415
16;80.00;0.0412
17;85.00;0.0414
18;90.00;0.041
19;95.00;0.0402
20;100.00;0.0398
21;105.00;0.04
22;110.00;0.0371
23;115.00;0.0403
24;120.00;0.0423
25;125.00;0.0426
26;130.00;0.0495
27;135.00;0.0432
28;140.00;0.0448
29;145.00;0.0386
30;150.00;0.0381
31;155.00;0.0371
32;160.00;0.0388
33;165.00;0.0409
34;170.00;0.0436
35;175.00;0.0369
