Day fraction since midnight on 	Time (seconds)	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.572847129	34	2.433815718	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.572905	68	2.433815718	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.572962884	102	2.433815718	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573020744	136	2.216622114	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573078616	170	2.216622114	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573136499	204	2.216622114	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573194359	238	2.342745781	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573252243	272	2.342745781	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573310103	306	2.342745781	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573367975	340	9.680354118	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573425846	374	9.680354118	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573483718	408	9.680354118	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573541578	442	28.31048393	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.57359945	476	28.31048393	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573657322	510	28.31048393	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573715194	544	11.3086977	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573773077	578	11.3086977	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573830926	612	11.3086977	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573888797	646	4.935564995	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.573946669	680	4.935564995	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574004541	714	4.935564995	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574062413	748	5.009171963	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574120296	782	5.009171963	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574178156	816	5.009171963	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574236028	850	4.078769684	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574293888	884	4.078769684	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574351772	918	4.078769684	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574409643	952	3.256105423	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574467504	986	3.256105423	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574525375	1020	3.256105423	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574583259	1054	3.314344883	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574641119	1088	3.314344883	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574698991	1122	3.314344883	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574756851	1156	2.254022837	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574814723	1190	2.254022837	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574872594	1224	2.254022837	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574930466	1258	2.140221357	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.574988338	1292	2.140221357	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.57504621	1326	2.140221357	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575104082	1360	1.945179582	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575161965	1394	1.945179582	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575219837	1428	1.945179582	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575277685	1462	1.733639598	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575335557	1496	1.733639598	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.57539344	1530	1.733639598	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575451301	1564	1.795854926	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575509172	1598	1.795854926	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575567044	1632	1.795854926	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575624916	1666	1.989641786	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575682799	1700	1.989641786	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575740648	1734	1.989641786	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575798538	1768	1.664886355	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
