Day fraction since midnight on 	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.6303425200	1.3780018091	0.2837948203	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6304003842	1.3780018091	0.2837948203	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6304582444	1.4269047976	0.2837948203	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6305161276	1.4269047976	0.2837948203	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6305739878	1.3902372122	0.2837948203	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6306318712	1.3902372122	0.2837948203	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6306897314	1.4398871660	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6307476150	1.4398871660	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6308054752	1.7480458021	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6308633352	1.7480458021	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6309212186	2.3621692657	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6309790790	2.3621692657	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6310369623	2.7581183910	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6310948225	2.7581183910	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6311527081	2.9682497978	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6312105710	2.9682497978	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6312684312	3.0141537189	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6313263178	3.0141537189	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6313842012	2.9792780876	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6314420401	2.9792780876	0.4264275730	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6314999235	2.9422500134	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6315577868	2.9422500134	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6316156702	2.7384431362	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6316735304	2.7384431362	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6317313906	2.5639054775	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6317892738	2.5639054775	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6318471342	2.3668308258	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6319050174	2.2467033863	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6319628800	2.2219476700	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6320207633	2.0990793705	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6320786259	2.0387697220	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6321364859	1.9394222498	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6321943717	1.9099425077	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6322522435	1.8543785810	0.3750821948	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6323101038	1.8543785810	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6323679640	1.7791422606	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6324258474	1.7590132952	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6324837074	1.7182878256	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6325415910	1.6997915506	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6325994512	1.6748397350	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6326573346	1.6701225042	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6327151948	1.6403753757	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6327730781	1.6274514198	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6328309381	1.6080069542	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6328887986	1.5999310017	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6329466819	1.5802519321	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6330045422	1.5748419762	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6330624255	1.5787746906	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6331202855	1.5718394518	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6331781703	1.5773013830	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6332360333	1.5867027044	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6332938970	1.5766768456	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6333517801	1.5797944069	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6334096635	1.5743697882	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6334675008	1.5747467279	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6335253839	1.5494577885	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6335832444	1.5472186804	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6336411277	1.5546060801	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6336990110	1.5648937225	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6337568726	1.5705174208	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6338147326	1.5804390907	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6338726159	1.6015989780	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6339304762	1.6125423908	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6339883364	1.6162159443	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6340462223	1.6285438538	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6341040825	1.6371278763	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6341619659	1.6529664993	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6342198490	1.6495391130	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6342776863	1.6614257097	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6343355695	1.6604409218	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6343934299	1.6627831459	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6344513132	1.6851788759	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6345091761	1.6989662647	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6345670608	1.7486366034	0.4533323646	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6346249273	1.7486366034	1.0836747885	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6346827975	1.9400571585	1.0836747885	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6347406871	1.9400571585	1.0836747885	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6347985533	2.1699540615	1.0836747885	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6348564431	2.1699540615	1.0836747885	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6349143327	2.3867421150	1.0836747885	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6349721760	2.3867421150	1.0836747885	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6350300656	2.4980609417	1.0836747885	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6350879320	2.4980609417	1.0836747885	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6351458216	2.6722733974	1.0836747885	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6352036880	2.6722733974	1.0836747885	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6352615777	2.7620406151	0.9473325014	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6353194439	2.7620406151	0.9473325014	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6353773337	2.9234437943	0.9473325014	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6354351999	2.9234437943	0.9473325014	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6354930664	3.0917451382	0.9473325014	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6355509562	3.0917451382	0.9473325014	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6356088224	3.2209753990	0.9473325014	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6356667122	3.2209753990	0.9473325014	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6357246018	3.2892105579	0.9473325014	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6357824680	3.2892105579	0.9473325014	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6358403345	3.2975273132	0.9473325014	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6358982029	3.2975273132	0.9473325014	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6359560948	3.3527834415	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6360139613	3.3527834415	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6360718307	3.4576065540	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6361297203	3.4576065540	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6361875867	3.4576065540	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6362454786	3.4375815392	0.8380988836	34.3405714286	0.2811676301	1.4060115607	346.8208092486
0.6363033451	3.5772082806	0.8380988836	34.3405714286	0.2811676301	1.4060115607	346.8208092486
0.6363612138	3.5772082806	0.8380988836	34.3405714286	0.2811676301	1.4060115607	346.8208092486
0.6364191033	3.6674056053	0.8380988836	34.3405714286	0.2811676301	1.4060115607	346.8208092486
0.6364769696	3.6674056053	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6365348611	6.6906094551	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6365927276	6.6906094551	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6366505965	10.5852813721	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6367084859	10.5852813721	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6367663525	15.3715782166	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6368242419	15.3715782166	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6368821086	4.4665608406	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6369400016	4.4665608406	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6369978682	5.7495007515	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6370557364	5.7495007515	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6371136260	7.5877952576	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6371714925	7.5877952576	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6372293837	10.2999515533	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6372872504	10.2999515533	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6373451169	20.5261001587	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6374030064	20.5261001587	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6374608727	18.0069980621	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6375187623	18.0069980621	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6375766287	17.6993713379	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6376345185	17.6993713379	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6376923850	17.9402942657	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6377502861	17.9402942657	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6378081294	17.1784477234	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6378660190	17.1784477234	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6379238853	16.6491928101	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6379817751	16.6491928101	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6380396402	15.3658161163	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6380975236	15.1468601227	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6381553839	15.0284061432	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6382132673	14.6687269211	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6382711274	14.4762010574	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6383289877	14.0436277390	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6383868711	13.6790399551	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6384447313	13.1443672180	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6385026147	12.9214401245	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6385604979	12.7130002975	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6386183394	12.5221242905	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6386762230	11.9017772675	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6387340848	11.7934846878	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6387919682	11.3861474991	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6388498284	11.2236433029	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6389077118	10.8876590729	0.8380988836	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6389655720	10.8876590729	0.7893512845	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6390234323	10.3864030838	0.7893512845	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6390813156	9.1385164261	0.7893512845	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6391391774	9.3681707382	0.7893512845	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6391970608	9.3567037582	0.7893512845	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6392549211	9.0747280121	0.7893512845	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6393128044	8.9387054443	0.7893512845	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6393706647	8.7888231277	0.7893512845	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6394285249	8.7102527618	0.7893512845	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6394864085	8.7102527618	0.7627593875	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6395442718	8.1939649582	0.7627593875	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6396021552	7.9427356720	0.7627593875	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6396600174	7.8911380768	0.7627593875	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6397178776	7.5281581879	0.7627593875	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6397757610	7.4128165245	0.7627593875	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6398336213	7.1672124863	0.7627593875	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6398915046	7.0751342773	0.7627593875	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6399493649	6.8157687187	0.7627593875	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6400072483	6.6682467461	0.7627593875	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6400651085	6.4815349579	0.7627593875	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6401229715	6.4815349579	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6401808549	6.2804770470	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6402387149	6.2630209923	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6402965985	6.0124440193	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6403544586	5.9910206795	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6404123419	5.8872637749	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6404702024	5.8228926659	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
