Day fraction since midnight on 3/5/2020	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.58304429	2.10908580	0.92415506	34.29257143	0.17573410	1.40601156	0.70300578
0.58310216	2.10908580	0.92415506	34.29257143	0.17573410	1.40601156	0.70300578
0.58316003	2.17858338	0.92415506	34.29257143	0.17573410	1.40601156	0.70300578
0.58321789	2.17858338	1.89733720	34.29257143	0.17573410	1.40601156	0.70300578
0.58327576	2.17858338	1.89733720	34.29257143	0.17573410	1.40601156	0.70300578
0.58333365	2.17858338	1.89733720	34.29257143	0.17573410	1.40601156	0.70300578
0.58339151	2.17858338	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58344939	1.89740431	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58350725	1.89740431	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58356514	1.89740431	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58362298	1.73774731	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58368086	1.73774731	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58373873	1.70147800	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58379660	1.70147800	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58385447	1.70147800	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58391234	1.66169477	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58397022	1.63880372	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58402810	1.63880372	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58408595	1.63880372	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58414382	2.10908580	0.92415506	34.29257143	0.17573410	1.40601156	0.70300578
0.58420170	1.59190559	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58425957	1.57703900	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58431744	1.57703900	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58437531	1.57703900	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58443318	1.65665841	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58449104	1.76873457	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58454892	1.76873457	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58460678	1.76873457	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58466465	2.03515887	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58472254	2.03515887	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58478040	1.90832937	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58483827	1.90832937	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58489617	1.90832937	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58495401	1.96138990	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58501187	2.06754851	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58506975	2.06754851	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58512763	1.57703900	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58518549	1.94847882	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58524337	1.93196404	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58530123	1.93196404	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58535911	1.93196404	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58541697	1.72887647	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58547485	1.72887647	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58553271	1.71488893	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58559058	1.71488893	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58564847	1.71488893	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58570633	1.62237430	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
0.58576420	1.61520576	1.91030169	34.29257143	0.17573410	1.40601156	0.70300578
