Day fraction since midnight on 	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.4040542806	1.6246981621	0.5855171084	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.4041121406	1.6166750193	0.5855171084	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4041700242	1.6247763634	0.5855171084	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4042278913	1.6845520735	0.5855171084	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4042857513	1.7590183020	0.5855171084	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4043436348	1.7899907827	0.5855171084	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4044014995	1.8869913816	0.5855171084	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4044593634	1.9065762758	0.5855171084	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4045172485	1.9858282804	0.5855171084	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4045751203	2.0555346012	0.5855171084	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4046329692	2.0555346012	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4046908429	2.2257282734	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4047487262	2.3682491779	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4048065863	2.4049737453	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4048644697	2.5385656357	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4049223300	2.6050181389	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4049801903	2.6997652054	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4050380735	2.7176527977	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4050959337	2.7720317841	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4051538213	2.7810280323	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4052116858	2.7796964645	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4052695768	2.7712752819	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4053274435	2.7510018349	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4053853078	2.7306897640	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4054432013	2.6648099422	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4055010761	2.6464831829	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4055589425	2.5716645718	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4056168070	2.5600550175	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4056746947	2.5216989517	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4057325630	2.4855048656	0.5157635212	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4057904275	2.4855048656	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4058483182	2.4461371899	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4059061853	2.3401162624	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4059640543	2.3028337955	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4060219420	2.2252180576	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4060798065	2.2048430443	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4061376753	2.1442000866	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4061955630	2.1281461716	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4062534275	2.0588076115	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4063113152	2.0412046909	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4063691795	1.9866141081	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4064270490	1.9706319571	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4064849369	1.9347115755	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
