Day fraction since midnight on 	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.5728471287	2.4338157177	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5729050004	2.4338157177	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5729628838	2.4338157177	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5730207440	2.2166221142	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5730786158	2.2166221142	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5731364991	2.2166221142	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5731943593	2.3427457809	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5732522426	2.3427457809	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5733101029	2.3427457809	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5733679746	9.6803541183	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5734258464	9.6803541183	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5734837182	9.6803541183	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5735415784	28.3104839325	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5735994502	28.3104839325	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5736573219	28.3104839325	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5737151937	11.3086977005	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5737730770	11.3086977005	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5738309257	11.3086977005	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5738887974	4.9355649948	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5739466692	4.9355649948	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5740045410	4.9355649948	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5740624128	5.0091719627	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5741202961	5.0091719627	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5741781563	5.0091719627	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5742360281	4.0787696838	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5742938883	4.0787696838	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5743517716	4.0787696838	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5744096434	3.2561054230	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5744675036	3.2561054230	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5745253754	3.2561054230	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5745832587	3.3143448830	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5746411189	3.3143448830	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5746989907	3.3143448830	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5747568509	2.2540228367	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5748147227	2.2540228367	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5748725944	2.2540228367	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5749304662	2.1402213573	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5749883380	2.1402213573	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5750462098	2.1402213573	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5751040815	1.9451795816	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5751619649	1.9451795816	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5752198366	1.9451795816	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5752776853	1.7336395979	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5753355571	1.7336395979	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5753934404	1.7336395979	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5754513006	1.7958549261	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5755091724	1.7958549261	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5755670441	1.7958549261	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5756249159	1.9896417856	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5756827993	1.9896417856	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5757406479	1.9896417856	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5757985375	1.6648863554	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5758564092	1.6648863554	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5759142810	1.6648863554	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5759721297	1.7425755262	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5760300014	1.7425755262	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5760878732	1.7425755262	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5761457450	1.5800539255	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5762036167	1.5800539255	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5762614885	1.5800539255	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
0.5763193719	1.7524429560	0.9501205087	34.3131428571	0.0878843931	1.4060115607	0.7030057803
